137;^[P]{1}\d{8}[P]{1}\d{10}[A]{1}\d{17};Electrical test data matrix format 6;;DOTMATRIX;"""""";"""""";HDEP
138;^[P]{1}\d{8}[P]{1}\d{4}[C]{1}\d{5}[C]{1}\d{17};Electrical test data matrix format 7;;DOTMATRIX;"""""";"""""";HDEP
139;^[P]{1}\d{8}[P]{1}\d{4}[C]{1}\d{5}[A]{1}\d{14};Electrical test data matrix format 8;;DOTMATRIX;"""""";"""""";HDEP
140;^[P]{1}\d{8}[P]{1}\d{4}[C]{1}\d{5}[A]{1}\d{13};Electrical test data matrix format 9;;DOTMATRIX;"""""";"""""";HDEP
141;^[P]{1}\d{8}[P]{1}\d{4}[C]{1}\d{5}[A]{1}\d{16};Electrical test data matrix format 10;;DOTMATRIX;"""""";"""""";HDEP
142;^[P]{1}\d{8}[P]{1}\d{4}[C]{1}\d{5}[A]{1}\d{18};Electrical test data matrix format 11;;DOTMATRIX;"""""";"""""";HDEP
143;^[P]{1}\d{8}[P]{1}\d{4}[C]{1}\d{5}[A]{1}\d{12};Electrical test data matrix format 12;;DOTMATRIX;"""""";"""""";HDEP
144;^[P]{1}\d{8}[P]{1}\d{4}[C]{1}\d{5}[A]{1}\d{17};Electrical test data matrix format 13;;DOTMATRIX;"""""";"""""";HDEP
145;^[P]{1}\d{8}[P]{1}\d{4}[C]{1}\d{5}[A]{1}\d{15};Electrical test data matrix format 14;;DOTMATRIX;"""""";"""""";HDEP
146;^[P]{1}\d{8}[P]{1}\d{19};Electrical test data matrix format 15;;DOTMATRIX;"""""";"""""";HDEP
147;^[P]{1}\d{8}[P]{1}\d{4}[C]{1}\d{5}[A]{1}\d{19};Electrical test data matrix format 16;;DOTMATRIX;"""""";"""""";HDEP
148;^[P]{1}\d{8}[C]{1}\d{19};Electrical test data matrix format 17;;DOTMATRIX;"""""";"""""";HDEP
149;^[P]{1}\d{8}[P]{1}\d{4}[C]{1}\d{5}[B]{1}\d{17};Electrical test data matrix format 18;;DOTMATRIX;"""""";"""""";HDEP
150;^[P]{1}\d{8}[C]{1}\d{4}[C]{1}\d{5}[A]{1}\d{17};Electrical test data matrix format 19;;DOTMATRIX;"""""";"""""";HDEP
151;^[P]{1}\d{8}[P]{1}\d{4}[C]{1}\d{6}[A]{1}\d{17};Electrical test data matrix format 20;;DOTMATRIX;"""""";"""""";HDEP
152;"^\d{4}[C]{1}\d{3}[D]{1}[;]{1}\d{2}[.]{1}\d{2}[.]{1}\d{4}[;]{1}\d{2}[:]{1}\d{2}[:]{1}\d{2}";Electrical test data matrix format 21;;DOTMATRIX;"""""";"""""";HDEP
153;^[P]\w{8};Part Number Pattern for Volvo Smalls;;PARTNUMBER;"""""";"""""";SMALL
154;^[P]\w{8};Part Number Pattern for Volvo HDEP;;PARTNUMBER;"""""";"""""";HDEP
155;^[P]\w{8};Part Number Pattern for Volvo MDEP;;PARTNUMBER;"""""";"""""";MDEP
